station_id_x;count_rental_ids_x;count_rental_ids_y;total_touchpoints
353;56238;56438;112676
354;916662;893923;1810585
355;23884;23606;47490
356;1131434;1105644;2237078
357;374663;374588;749251
358;118615;116781;235396
359;193986;191775;385761
36;273101;269865;542966
360;574426;576423;1150849
361;788024;690738;1478762
362;146247;144113;290360
363;24967;23686;48653
364;331394;331263;662657
365;221124;215946;437070
366;125014;122757;247771
367;79586;79662;159248
368;358612;351226;709838
37;242255;240718;482973
370;17212;17184;34396
371;17487;17299;34786
372;241698;239005;480703
373;182781;174538;357319
374;3638683;3164410;6803093
375;57027;57254;114281
376;308663;307708;616371
377;188503;179832;368335
378;307740;305680;613420
379;312831;310519;623350
38;68723;68874;137597
380;93446;90259;183705
381;244646;244874;489520
382;49771;49388;99159
383;428348;417670;846018
384;39689;39154;78843
386;1187449;1187487;2374936
387;373391;370252;743643
388;705083;697105;1402188
389;34691;34345;69036
39;1728307;1731506;3459813
390;74933;73262;148195
391;156826;157138;313964
392;351021;343526;694547
393;344457;344683;689140
394;78695;78277;156972
395;458598;453395;911993
396;135859;134811;270670
397;399353;399780;799133
398;187843;187840;375683
399;406808;404085;810893
4;331926;332065;663991
40;252631;253015;505646
400;262511;260970;523481
401;314202;312872;627074
402;34592;34101;68693
403;109858;110116;219974
404;3677664;3737759;7415423
405;831620;817654;1649274
406;3764845;3885607;7650452
407;5370735;5565177;10935912
408;64999;63543;128542
409;179487;177588;357075
41;1151066;1147258;2298324
410;291763;284256;576019
411;346581;339180;685761
412;44524;44389;88913
419;285718;288248;573966
42;261975;256515;518490
420;194246;190591;384837
421;464525;459849;924374
423;66182;64544;130726
424;214682;212166;426848
425;169074;169055;338129
426;106715;106294;213009
427;1787124;1781371;3568495
428;1339028;1320359;2659387
43;234569;233657;468226
430;67631;67624;135255
431;248468;247586;496054
432;731085;699926;1431011
433;400245;396411;796656
435;89788;88150;177938
436;813751;811323;1625074
437;98702;97011;195713
439;42425;42647;85072
44;114686;112997;227683
440;237474;234804;472278
441;56645;55387;112032
442;38259;37846;76105
443;168962;168784;337746
444;223652;223855;447507
445;109586;107739;217325
446;390457;385048;775505
447;27565;28471;56036
448;337684;330220;667904
449;376763;377036;753799
45;447185;413083;860268
450;133000;131542;264542
451;60612;58723;119335
452;293899;293511;587410
453;170902;169514;340416
454;53996;53958;107954
455;28175;27458;55633
456;256347;254360;510707
457;672746;667405;1340151
458;273093;270148;543241
459;275142;276299;551441
46;904108;903658;1807766
460;43059;43643;86702
461;33364;32405;65769
462;441777;446025;887802
463;32921;32735;65656
464;13134;13091;26225
465;300832;295201;596033
466;79550;79232;158782
467;57882;58006;115888
468;16012;15787;31799
469;79176;77866;157042
47;459294;461327;920621
470;87045;87598;174643
471;64397;63932;128329
472;6673;6547;13220
473;9183;8988;18171
474;4051;4068;8119
475;73369;73495;146864
476;22305;22578;44883
477;40962;40590;81552
478;605647;603632;1209279
479;438455;436435;874890
48;831880;834596;1666476
480;503925;503378;1007303
481;334030;337107;671137
482;2547;2512;5059
483;191769;190569;382338
484;29283;28930;58213
485;273287;267385;540672
486;448886;445911;894797
487;44589;44440;89029
488;205569;202381;407950
489;236795;230902;467697
49;159915;155148;315063
490;28470;27772;56242
491;123452;123116;246568
492;298426;295352;593778
494;3953;3863;7816
495;166246;165893;332139
496;69642;68613;138255
497;13843;13292;27135
498;184228;182324;366552
499;139747;139286;279033
5;517369;517093;1034462
50;219446;220390;439836
500;129816;130111;259927
501;225684;224499;450183
502;1829;1824;3653
503;196857;195570;392427
504;9221;9134;18355
505;22485;22331;44816
506;258454;259367;517821
507;54174;53641;107815
508;462793;452944;915737
509;218398;219870;438268
51;118093;115954;234047
510;610819;612709;1223528
511;190888;188316;379204
512;489463;491245;980708
513;169828;168805;338633
514;203538;201033;404571
515;46907;47249;94156
516;75351;74551;149902
517;82402;82633;165035
518;124160;123196;247356
519;5536;5441;10977
52;251919;254419;506338
520;103867;103406;207273
521;294099;290883;584982
522;197643;193372;391015
523;17014;16858;33872
524;534092;538638;1072730
526;28493;28723;57216
527;102237;101254;203491
528;38033;36932;74965
529;213945;211138;425083
53;68331;69029;137360
530;32925;32012;64937
531;354950;353076;708026
532;452730;442403;895133
533;157346;155630;312976
534;226719;221690;448409
535;211716;216479;428195
536;84720;84341;169061
537;363061;361030;724091
538;19857;19845;39702
539;185219;183118;368337
54;306712;307127;613839
540;156846;158455;315301
541;1933956;1953223;3887179
542;174521;174458;348979
543;14213;14261;28474
544;160858;160324;321182
545;205871;204792;410663
546;406641;391065;797706
547;63587;64746;128333
548;21901;21522;43423
549;65420;64737;130157
55;2636475;2690513;5326988
550;86670;87000;173670
551;126536;126521;253057
552;374525;365798;740323
553;3477155;3555984;7033139
554;7179;7412;14591
555;1606;1562;3168
556;39413;38066;77479
557;126051;124128;250179
558;262051;262723;524774
559;40621;39580;80201
56;147776;149051;296827
560;11436;11233;22669
561;63643;62963;126606
562;271858;271600;543458
563;14914;14801;29715
564;927675;910333;1838008
565;36160;35706;71866
566;54285;54010;108295
568;198699;200943;399642
569;90740;88937;179677
57;367808;364421;732229
570;166007;164614;330621
571;127867;126746;254613
572;604078;599954;1204032
573;661762;661176;1322938
574;723729;707157;1430886
576;31571;30939;62510
577;173025;170474;343499
578;101710;99535;201245
579;780032;800663;1580695
58;442493;443885;886378
580;145023;142012;287035
581;257617;255868;513485
583;693890;696336;1390226
584;273764;277034;550798
586;21431;20816;42247
587;325786;317750;643536
588;107110;105989;213099
589;458856;457240;916096
59;30239;29763;60002
590;22349;21462;43811
591;283614;278968;562582
592;75793;76232;152025
593;201025;198269;399294
594;289574;286969;576543
595;301083;298839;599922
596;392971;391293;784264
597;139176;138730;277906
598;86131;85701;171832
599;58677;59075;117752
6;321220;323960;645180
60;63280;64674;127954
600;105751;105406;211157
601;92192;92027;184219
602;125362;126693;252055
603;228621;227883;456504
604;30681;30639;61320
605;120374;119329;239703
606;23468;23083;46551
607;193593;193017;386610
608;2575;2563;5138
609;68501;68238;136739
61;162775;162624;325399
610;180989;180374;361363
611;99857;98783;198640
612;119470;120383;239853
613;371525;370658;742183
614;27170;27179;54349
615;178429;176643;355072
616;115366;115824;231190
617;41455;41573;83028
618;126326;123689;250015
619;81998;81588;163586
62;56281;55358;111639
620;138933;139698;278631
621;206944;202742;409686
622;213687;211224;424911
623;19425;19253;38678
624;66073;66125;132198
625;1005012;1009973;2014985
626;277639;278001;555640
627;18493;18405;36898
628;110530;110156;220686
629;12032;11903;23935
63;82537;80548;163085
630;54519;54543;109062
631;109839;108342;218181
632;53903;54709;108612
633;250988;253885;504873
634;108331;108340;216671
635;118423;118753;237176
636;96760;95567;192327
637;14511;14769;29280
638;459707;458882;918589
639;194984;194563;389547
64;1661769;1695669;3357438
640;104386;104590;208976
641;186226;186581;372807
642;11174;11277;22451
643;110244;107457;217701
644;173181;169077;342258
645;99388;98529;197917
646;469535;463797;933332
647;100522;99761;200283
648;27743;27417;55160
649;139038;136772;275810
65;195757;194951;390708
650;152932;150724;303656
651;96768;96718;193486
652;13878;13503;27381
653;178444;177522;355966
654;64007;64569;128576
655;115276;114190;229466
656;24501;23980;48481
657;46386;45848;92234
658;578798;573023;1151821
659;6978;6884;13862
66;1318218;1532536;2850754
660;98253;98589;196842
661;364601;355261;719862
662;185538;185718;371256
663;49565;48899;98464
664;167112;166992;334104
665;54253;54256;108509
666;237745;234916;472661
667;103706;103236;206942
668;121629;119844;241473
669;33603;33778;67381
67;438825;433179;872004
670;97803;96726;194529
671;376176;369606;745782
672;2271;2236;4507
673;102697;100837;203534
674;105035;104903;209938
675;68577;69762;138339
676;135535;135723;271258
677;25781;25125;50906
678;8623;8481;17104
679;43769;43275;87044
68;428813;427167;855980
680;496757;494076;990833
681;175163;178370;353533
682;349480;343321;692801
683;73301;72640;145941
684;69719;68814;138533
685;113980;112503;226483
686;118560;118873;237433
687;171742;171970;343712
688;43587;43099;86686
689;10876;10871;21747
69;282455;273415;555870
690;31847;31330;63177
691;429050;423910;852960
692;500558;505849;1006407
693;130902;127064;257966
694;52304;52312;104616
695;1195430;1199959;2395389
696;54598;54066;108664
697;84297;84648;168945
698;139463;139543;279006
699;70409;70112;140521
7;79110;80032;159142
70;48640;48622;97262
700;124206;124013;248219
701;250066;251298;501364
702;150464;150214;300678
703;524405;517375;1041780
704;11892;11971;23863
705;26001;25805;51806
706;221385;222037;443422
707;227986;228555;456541
708;102589;102943;205532
709;45243;44177;89420
71;1864383;1979634;3844017
710;302305;304025;606330
711;99330;97421;196751
712;135193;133990;269183
713;65854;63979;129833
714;13351;13275;26626
715;75059;74657;149716
716;58921;57110;116031
717;955391;953189;1908580
718;427348;420726;848074
719;545398;545880;1091278
72;204733;205250;409983
720;93565;94158;187723
721;84743;85364;170107
722;82622;82101;164723
723;313949;312120;626069
724;31492;31392;62884
725;20658;20790;41448
726;96281;96088;192369
727;203003;204376;407379
728;33405;33516;66921
729;232084;235026;467110
73;1802666;1780186;3582852
730;217468;214112;431580
731;150728;147658;298386
732;2153435;2130219;4283654
733;209656;204528;414184
734;32146;32459;64605
735;154856;156064;310920
736;11384;11376;22760
737;991204;990196;1981400
738;150055;149592;299647
739;115772;114399;230171
74;1094764;1083957;2178721
740;9261;9217;18478
741;12458;12166;24624
742;247005;246688;493693
743;14236;14251;28487
744;16630;16416;33046
745;84315;84179;168494
746;102119;102751;204870
747;135482;133748;269230
748;287456;286259;573715
749;379320;380381;759701
75;278109;278369;556478
750;27254;26895;54149
751;178105;176031;354136
752;5171;5294;10465
753;101596;99642;201238
754;24910;24521;49431
755;452648;450402;903050
756;169350;168368;337718
757;137317;137960;275277
758;170289;169423;339712
759;34352;34053;68405
76;124851;125627;250478
760;33232;33349;66581
761;90076;89656;179732
762;1950182;2031312;3981494
763;157429;155375;312804
764;125173;123776;248949
765;56306;54957;111263
766;95329;93808;189137
767;8536;8446;16982
768;240509;242498;483007
769;154214;155035;309249
77;493962;483534;977496
770;70628;70372;141000
771;27077;26345;53422
772;465991;463176;929167
773;365763;365387;731150
774;29152;28336;57488
775;48460;48562;97022
776;44182;43014;87196
777;9221;9188;18409
